IDN,NSN,common_name,Price,UI,AAC,Batch,ParentID
2377,5130-00-774-7130,Screwdriver Bit (Torq Set),18.41,EA,H,KVPMSCA2377,5110-01-068-5253
2378,5130-00-798-0825,Screwdriver Bit (Torq Set),2.02,EA,H,KVPMSCA2378,5110-01-181-7030
2379,5130-00-798-0826,Screwdriver Bit (Torq Set),1.58,EA,H,KVPMSCA2379,5110-01-060-1701
2380,5130-00-798-0828,Screwdriver Bit (Torq Set),2.02,EA,H,KVPMSCA2380,5110-01-068-5253
2381,5130-00-805-3793,Screwdriver Bit (Torq Set),2.07,EA,H,KVPMSCA2381,5110-01-181-7030
2382,5130-00-807-3009,Drill (Electric),188.01,EA,H,KVPMSCA2382,5110-01-060-1701
2383,5130-00-816-1314,Screwdriver Bit (Torq Set),4.23,EA,H,KVPMSCA2383,5130-00-807-3009
2384,5130-00-889-9001,Drill (Electric),216.19,EA,H,KVPMSCA2384,5130-00-807-3009
2385,5130-00-889-9011,Drill (Pneumatic),368.45,EA,H,KVPMSCA2385,5130-00-807-3009
2386,5130-00-901-8245,Hammer (Pneumatic Set),204.65,EA,H,KVPMSCA2386,3510-00-273-9738
2387,5130-00-967-9707,Reciprocating Saw Blade,13.51,PG,H,KVPMSCA2387,3510-00-273-9738
2388,5130-00-990-2874,Screwdriver/Nutrunner (Pneumatic),539.17,EA,H,KVPMSCA2388,3510-00-273-9738
2389,5130-01-028-7142,Wire Stripper (Thermal Tweezers Type),157.14,EA,H,KVPMSCA2389,3510-00-273-9739
2390,5130-01-030-4264,Vertical Grinder (Pneumatic),719.01,EA,H,KVPMSCA2390,3510-00-273-9739
2391,5130-01-044-7197,Pulling Head,124.48,EA,H,KVPMSCA2391,3510-00-273-9739
2392,5130-01-044-7198,Pulling Head,427.56,EA,H,KVPMSCA2392,3510-01-622-7152
2393,5130-01-045-8549,Impact Socket (Metric),4.05,EA,H,KVPMSCA2393,3510-01-622-7152
2394,5130-01-045-8552,Impact Socket (Metric),4.15,EA,H,KVPMSCA2394,3510-01-622-7152
2395,5130-01-045-8553,Impact Socket (Metric),2.92,EA,H,KVPMSCA2395,5130-01-045-8552
2396,5130-01-045-8560,Impact Socket (Metric),4.69,EA,H,KVPMSCA2396,5130-01-045-8552
2397,5130-01-045-8562,Impact Socket (Metric),4.96,EA,H,KVPMSCA2397,5130-01-045-8552
2398,5130-01-053-8733,Reciprocating Saw Blade,6.5,PG,H,KVPMSCA2398,3510-00-273-9738
2399,5130-01-083-5827,Abrasive Wheel (Dremel),2.55,EA,H,KVPMSCA2399,3510-00-273-9738
2400,5130-01-084-6025,Socket,16.56,EA,H,KVPMSCA2400,3510-00-273-9738
2401,5130-01-104-5370,Pulling Head,247.77,EA,H,KVPMSCA2401,3510-00-273-9739
2402,5130-01-112-0551,Impact Socket (Metric),4.32,EA,H,KVPMSCA2402,3510-00-273-9739
2403,5130-01-112-0552,Impact Socket (Metric),4.67,EA,H,KVPMSCA2403,3510-00-273-9739
2404,5130-01-112-0581,Impact Socket (Metric),8.89,EA,H,KVPMSCA2404,3510-01-622-7152
2405,5130-01-113-1552,Impact Socket (Metric),5.45,EA,H,KVPMSCA2405,3510-01-622-7152
2406,5130-01-113-1558,Impact Socket (Metric),11.17,EA,H,KVPMSCA2406,3510-01-622-7152
2407,5130-01-113-1559,Impact Socket (Metric),9.36,EA,H,KVPMSCA2407,5130-01-113-1558
2408,5130-01-113-1563,Impact Socket (Metric),10.7,EA,H,KVPMSCA2408,5130-01-113-1558
2409,5130-01-117-0462,Impact Socket (Metric),4.86,EA,H,KVPMSCA2409,5130-01-113-1558
2410,5130-01-117-6029,Impact Socket (Metric),11.03,EA,H,KVPMSCA2410,3510-00-273-9738
2411,5130-01-130-7736,Screwdriver Bit (Hex Tip),1.04,EA,H,KVPMSCA2411,3510-00-273-9738
2412,5130-01-166-6467,Impact Socket (Regular Length),54.95,EA,H,KVPMSCA2412,3510-00-273-9738
2413,5130-01-178-6338,Hammer Drill (Hydraulic),4088.25,EA,H,KVPMSCA2413,3510-00-273-9739
2414,5130-01-179-8244,Impact Socket Set,297.83,SE,H,KVPMSCA2414,3510-00-273-9739
2415,5130-01-229-9780,Nutrunner & Screwdriver,92.49,EA,H,KVPMSCA2415,3510-00-273-9739
2416,5130-01-284-3063,Cordless Drill,163.3,EA,H,KVPMSCA2416,3510-01-622-7152
2417,5130-01-293-1275,Cut-Off Wheel (Dremel),10.17,PG,H,KVPMSCA2417,3510-01-622-7152
2418,5130-01-299-0175,Universal Joint (Impact),37.73,EA,H,KVPMSCA2418,3510-01-622-7152
2419,5130-01-317-2453,Vibration Cushioned Needle Scaler,240.6,EA,H,KVPMSCA2419,5130-01-299-0175
2420,5130-01-317-3219,Wire Brush (Rotary End Solid Wire Fill),10.73,EA,H,KVPMSCA2420,5130-01-299-0175
2421,5130-01-334-7669,Drill (Pneumatic),608.18,EA,H,KVPMSCA2421,5130-01-299-0175
2422,5130-01-334-7677,Drill (Pneumatic),426.52,EA,H,KVPMSCA2422,3510-00-273-9738
2423,5130-01-334-7681,Drill (Pneumatic),462.52,EA,H,KVPMSCA2423,3510-00-273-9738
2424,5130-01-335-1363,Electric Etcher,28.73,EA,H,KVPMSCA2424,3510-00-273-9738
2425,5130-01-335-4786,Drill (Pneumatic),359.84,EA,H,KVPMSCA2425,3510-00-273-9739
2426,5130-01-336-5533,Electric Etcher,18.16,EA,J,KVPMSCA2426,3510-00-273-9739
2427,5130-01-348-9198,Impact Socket (Long Length),3.14,EA,H,KVPMSCA2427,3510-00-273-9739
2428,5130-01-348-9205,Impact Socket (Long Length),13.27,EA,H,KVPMSCA2428,3510-01-622-7152
2429,5130-01-348-9206,Impact Socket (Long Length),7.36,EA,H,KVPMSCA2429,3510-01-622-7152
2430,5130-01-348-9207,Impact Socket (Long Length),15.68,EA,H,KVPMSCA2430,3510-01-622-7152
2431,5130-01-348-9208,Impact Socket (Regular Length),8.65,EA,H,KVPMSCA2431,5130-01-348-9207
2432,5130-01-348-9212,Impact Socket (Regular Length),9.25,EA,H,KVPMSCA2432,5130-01-348-9207
2433,5130-01-348-9216,Impact Socket (Regular Length),9.16,EA,H,KVPMSCA2433,5130-01-348-9207
2434,5130-01-348-9217,Impact Socket (Regular Length),9.38,EA,H,KVPMSCA2434,3510-00-273-9738
2435,5130-01-348-9219,Impact Socket (Regular Length),10.59,EA,H,KVPMSCA2435,3510-00-273-9738
2436,5130-01-348-9221,Impact Socket (Regular Length),9.14,EA,H,KVPMSCA2436,3510-00-273-9738
2437,5130-01-348-9227,Impact Socket (Long Length),4.63,EA,H,KVPMSCA2437,3510-00-273-9739
2438,5130-01-348-9238,Impact Socket (Regular Length),6.79,EA,H,KVPMSCA2438,3510-00-273-9739
2439,5130-01-348-9240,Impact Socket (Regular Length),5.64,EA,H,KVPMSCA2439,3510-00-273-9739
2440,5130-01-348-9241,Impact Socket (Regular Length),7.12,EA,H,KVPMSCA2440,3510-01-622-7152
2441,5130-01-348-9260,Impact Socket (Regular Length),3.55,EA,H,KVPMSCA2441,3510-01-622-7152
2442,5130-01-348-9272,Impact Socket (Regular Length),7.59,EA,H,KVPMSCA2442,3510-01-622-7152
2443,5130-01-348-9275,Impact Socket (Long Length),11.48,EA,H,KVPMSCA2443,5130-01-348-9272
2444,5130-01-348-9312,Impact Socket (Metric),8.88,EA,H,KVPMSCA2444,5130-01-348-9272
2445,5130-01-348-9313,Impact Socket (Metric),8.26,EA,H,KVPMSCA2445,5130-01-348-9272
2446,5130-01-348-9315,Impact Socket (Metric),3.01,EA,H,KVPMSCA2446,3510-00-273-9738
2447,5130-01-348-9316,Impact Socket (Metric),3.01,EA,H,KVPMSCA2447,3510-00-273-9738
2448,5130-01-348-9317,Impact Socket (Metric),9.65,EA,H,KVPMSCA2448,3510-00-273-9738
2449,5130-01-348-9318,Impact Socket (Metric),10.82,EA,H,KVPMSCA2449,3510-00-273-9739
2450,5130-01-348-9319,Impact Socket (Metric),11.12,EA,H,KVPMSCA2450,3510-00-273-9739
2451,5130-01-348-9335,Impact Socket (Long Length),4.63,EA,H,KVPMSCA2451,3510-00-273-9739
2452,5130-01-348-9337,Impact Socket (Long Length),13.03,EA,H,KVPMSCA2452,3510-01-622-7152
2453,5130-01-348-9338,Impact Socket (Long Length),14.21,EA,H,KVPMSCA2453,3510-01-622-7152
2454,5130-01-348-9342,Impact Socket (Long Length),21.56,EA,H,KVPMSCA2454,3510-01-622-7152
2455,5130-01-348-9344,Impact Socket (Long Length),24.07,EA,H,KVPMSCA2455,5130-01-348-9342
2456,5130-01-348-9345,Impact Socket (Long Length),26.31,EA,H,KVPMSCA2456,5130-01-348-9342
2457,5130-01-348-9346,Impact Socket (Long Length),8.07,EA,H,KVPMSCA2457,5130-01-348-9342
2458,5130-01-348-9349,Impact Socket (Long Length),35.44,EA,H,KVPMSCA2458,3510-00-273-9738
2459,5130-01-348-9350,Impact Socket (Metric),13.1,EA,H,KVPMSCA2459,3510-00-273-9738
2460,5130-01-348-9353,Impact Socket (Metric),14.38,EA,H,KVPMSCA2460,3510-00-273-9738
2461,5130-01-348-9417,Impact Socket (Regular Length),8.6,EA,H,KVPMSCA2461,3510-00-273-9739
2462,5130-01-355-1872,Impact Socket (Metric),15.62,EA,H,KVPMSCA2462,3510-00-273-9739
2463,5130-01-355-1875,Impact Socket (Metric),21.92,EA,H,KVPMSCA2463,3510-00-273-9739
2464,5130-01-355-1888,Impact Socket (Long Length),13.1,EA,H,KVPMSCA2464,3510-01-622-7152
2465,5130-01-355-1889,Impact Socket (Long Length),11.89,EA,H,KVPMSCA2465,3510-01-622-7152
2466,5130-01-355-1890,Impact Socket (Long Length),18.24,EA,H,KVPMSCA2466,3510-01-622-7152
2467,5130-01-355-2074,Nut Runner & Screwdriver (Pneumatic),92.41,EA,H,KVPMSCA2467,5130-01-355-1890
2468,5130-01-355-2075,Nut Runner & Screwdriver (Pneumatic),95.43,EA,H,KVPMSCA2468,5130-01-355-1890
2469,5130-01-358-5262,Grinder (Pneumatic),331.19,EA,H,KVPMSCA2469,5130-01-355-1890
2470,5130-01-358-5263,Grinder (Pneumatic),474.18,EA,H,KVPMSCA2470,3510-00-273-9738
2471,5130-01-362-0020,Impact Socket (Regular Length),8.43,EA,H,KVPMSCA2471,3510-00-273-9738
2472,5130-01-366-0376,Impact Socket (Metric),14.15,EA,H,KVPMSCA2472,3510-00-273-9738
2473,5130-01-367-3110,Socket Wrench Size Adapter (Impact),5.59,EA,H,KVPMSCA2473,3510-00-273-9739
2474,5130-01-367-3838,Drill (Pneumatic),114.7,EA,H,KVPMSCA2474,3510-00-273-9739
2475,5130-01-368-2436,Screwdriver Bit (Phillips),0.87,EA,H,KVPMSCA2475,3510-00-273-9739
2476,5130-01-387-0248,Screwdriver Bit (Torq Set),6.19,EA,J,KVPMSCA2476,3510-01-622-7152
2477,5130-01-389-8450,Socket (Budd Wheel),26.04,EA,H,KVPMSCA2477,3510-01-622-7152
2478,5130-01-393-2925,Pulling Head,281.75,EA,H,KVPMSCA2478,3510-01-622-7152
2479,5130-01-400-0129,Socket Extension (Impact),28.41,EA,H,KVPMSCA2479,3510-01-622-7153
2480,5130-01-400-0196,Impact Socket (Metric),9.74,EA,H,KVPMSCA2480,3510-01-622-7153
2481,5130-01-406-1363,Sealant  Dispenser Cartridge,6.68,EA,H,KVPMSCA2481,3510-01-622-7153
2482,5130-01-406-1364,"PLUNGER,SEALANT CARTRIDGE",0.65,EA,J,KVPMSCA2482,3510-01-622-7153
2483,5130-01-428-3751,Impact Wrench (Pneumatic),447.47,EA,H,KVPMSCA2483,3510-01-622-7153
2484,5130-01-428-5692,Hammer Kit (Pneumatic),582.02,KT,H,KVPMSCA2484,3510-01-622-7153
2485,5130-01-444-4662,Drill (Cordless),206.59,EA,H,KVPMSCA2485,3510-01-622-7153
2486,5130-01-445-4866,Drill (Electric),112.18,EA,H,KVPMSCA2486,3510-01-622-7153
2487,5130-01-451-7233,Drill (Electric),108,EA,H,KVPMSCA2487,3510-01-622-7153
2488,5130-01-453-8305,Needle Scaler (Pneumatic),2548.98,EA,J,KVPMSCA2488,3510-01-622-7153
2489,5130-01-453-8310,Grinder (Pneumatic),1212.72,EA,H,KVPMSCA2489,3510-01-622-7153
2490,5130-01-459-6046,Power Tool Kit (Cordless 18V),442.68,EA,J,KVPMSCA2490,3510-01-622-7153
2491,5130-01-460-8197,Horizontal Grinder (Pneumatic),164.83,EA,H,KVPMSCA2491,3510-01-622-7153
2492,5130-01-460-8604,Disk Sander (Pneumatic),189.06,EA,H,KVPMSCA2492,3510-01-622-7153
2493,5130-01-473-9443,Hole Saw Blade Kit,69.26,KT,H,KVPMSCA2493,3510-01-622-7153
2494,5130-01-473-9447,Reciprocating Saw Blade,2.71,EA,H,KVPMSCA2494,3510-01-622-7153
2495,5130-01-473-9448,Reciprocating Saw Blade,7.67,PG,H,KVPMSCA2495,3510-01-622-7153
2496,5130-01-473-9449,Reciprocating Saw Blade,11.32,PG,H,KVPMSCA2496,3510-01-622-7153
2497,5130-01-473-9450,Reciprocating Saw Blade (Set),11.44,SE,H,KVPMSCA2497,3510-01-622-7153
2498,5130-01-473-9452,Reciprocating Saw Blade,8.05,PG,H,KVPMSCA2498,3510-01-622-7153
2499,5130-01-473-9707,Disk Grinder (Electric),275.57,EA,H,KVPMSCA2499,3510-01-622-7153
2500,5130-01-474-4810,Circular Saw Blade,10.71,EA,H,KVPMSCA2500,3510-01-622-7153
2501,5130-01-474-4822,Jig Saw Blade Set,17.58,SE,H,KVPMSCA2501,3510-01-622-7153
2502,5130-01-474-4831,Circular Saw Blade,17.4,EA,H,KVPMSCA2502,3510-01-622-7153
2503,5130-01-474-5535,Circular Saw Blade,32.36,EA,H,KVPMSCA2503,3510-01-622-7153
2504,5130-01-486-2261,Impact Wrench (Pneumatic),909.02,EA,H,KVPMSCA2504,3510-01-622-7153
2505,5130-01-486-2265,Grinder (Pneumatic),788.41,EA,H,KVPMSCA2505,3510-01-622-7153
2506,5130-01-490-6444,Impact Wrench (Pneumatic),326.69,EA,H,KVPMSCA2506,3510-01-622-7153
2507,5130-01-493-9094,Wire Brush (Cup - Crimped Wire),20.67,EA,H,KVPMSCA2507,3510-01-622-7153
2508,5130-01-514-7768,Electronic Torque Wrench,270.25,EA,H,KVPMSCA2508,3510-01-622-7153
2509,5130-01-535-1217,Impact Wrench (Cordless),280.62,SE,H,KVPMSCA2509,3510-01-622-7153
2510,5130-01-543-5846,Impact Wrench (Cordless),335.59,SE,H,KVPMSCA2510,3510-01-622-7153
2511,5130-01-544-3214,Back-Up Pad,36.51,EA,H,KVPMSCA2511,3510-01-622-7153
2512,5130-01-544-3227,Grinder (Pneumatic),1098.25,EA,H,KVPMSCA2512,3510-01-622-7153
2513,5130-01-565-9980,Screwdriver Bit (Torx),3.25,EA,H,KVPMSCA2513,3510-01-622-7153
2514,5130-01-565-9981,Screwdriver Bit (Torx),3.25,EA,H,KVPMSCA2514,3510-01-622-7153
2515,5130-01-566-6685,Screwdriver Bit (Torx),3.25,EA,H,KVPMSCA2515,3510-01-622-7153
2516,5130-01-574-8728,Needle Scaler (Pneumatic),501.84,EA,J,KVPMSCA2516,3510-01-622-7153
2517,5130-01-596-1421,Reciprocating Saw Blade,7.79,PG,H,KVPMSCA2517,3510-01-622-7153
2518,5133-00-010-4005,Drill Bit (Solid Carbide),6.41,EA,H,KVPMSCA2518,3510-01-622-7153
2519,5133-00-051-5749,Drill Bit (Cobalt HSS),18.61,DZ,H,KVPMSCA2519,3510-01-622-7153
2520,5133-00-061-6280,Drill Bit (High Speed Steel),4.3,EA,H,KVPMSCA2520,3510-01-622-7153
2521,5133-00-062-5290,Countersink Cutter,5.52,EA,H,KVPMSCA2521,3510-01-622-7153
2522,5133-00-065-0980,Drill Bit (Cobalt HSS),29.74,DZ,H,KVPMSCA2522,3510-01-622-7153
2523,5133-00-065-0981,Drill Bit (Cobalt HSS),19.54,DZ,H,KVPMSCA2523,3510-01-622-7153
2524,5133-00-116-7234,Drill Bit (HSS),14.61,DZ,H,KVPMSCA2524,3510-01-622-7153
2525,5133-00-177-7332,Countersink Cutter,5.52,EA,H,KVPMSCA2525,3510-01-622-7153
2526,5133-00-177-7333,Countersink Cutter,5.61,EA,H,KVPMSCA2526,3510-01-622-7153
2527,5133-00-177-7334,Countersink Cutter,5.52,EA,H,KVPMSCA2527,3510-01-622-7153
2528,5133-00-177-7335,Countersink Cutter,5.52,EA,H,KVPMSCA2528,3510-01-622-7153
2529,5133-00-189-9188,Drill Bit (High Speed Steel),10.34,EA,H,KVPMSCA2529,3510-01-622-7153
2530,5133-00-189-9189,Drill Bit (High Speed Steel),8.43,EA,H,KVPMSCA2530,3510-01-622-7153
2531,5133-00-189-9246,Drill Bit (High Speed Steel),11.32,DZ,H,KVPMSCA2531,3510-01-622-7153
2532,5133-00-189-9247,Drill Bit (High Speed Steel),11.32,DZ,H,KVPMSCA2532,3510-01-622-7153
2533,5133-00-189-9248,Drill Bit (High Speed Steel),10.21,DZ,H,KVPMSCA2533,3510-01-622-7153
2534,5133-00-189-9249,Drill Bit (High Speed Steel),11.18,DZ,H,KVPMSCA2534,3510-01-622-7153
2535,5133-00-189-9250,Drill Bit (High Speed Steel),8.79,DZ,H,KVPMSCA2535,3510-01-622-7153
2536,5133-00-189-9251,Drill Bit (High Speed Steel),10.21,DZ,H,KVPMSCA2536,3510-01-622-7153
2537,5133-00-189-9252,Drill Bit (High Speed Steel),8.79,DZ,H,KVPMSCA2537,3510-01-622-7153
2538,5133-00-189-9253,Drill Bit (High Speed Steel),9.66,DZ,H,KVPMSCA2538,3510-01-622-7153
2539,5133-00-189-9254,Drill Bit (High Speed Steel),9.94,DZ,H,KVPMSCA2539,3510-01-622-7153
2540,5133-00-189-9255,Drill Bit (High Speed Steel),8.36,DZ,H,KVPMSCA2540,3510-01-622-7153
2541,5133-00-189-9256,Drill Bit (High Speed Steel),8.83,DZ,H,KVPMSCA2541,3510-01-622-7153
2542,5133-00-189-9257,Drill Bit (High Speed Steel),8.83,DZ,H,KVPMSCA2542,3510-01-622-7153
2543,5133-00-189-9258,Drill Bit (High Speed Steel),9.11,DZ,H,KVPMSCA2543,3510-01-622-7153
2544,5133-00-189-9259,Drill Bit (High Speed Steel),9.11,DZ,H,KVPMSCA2544,3510-01-622-7153
2545,5133-00-189-9261,Drill Bit (High Speed Steel),7.27,DZ,H,KVPMSCA2545,3510-01-622-7153
2546,5133-00-189-9262,Drill Bit (High Speed Steel),8.95,DZ,H,KVPMSCA2546,3510-01-622-7153
2547,5133-00-189-9263,Drill Bit (High Speed Steel),7.73,DZ,H,KVPMSCA2547,3510-01-622-7153
2548,5133-00-189-9264,Drill Bit (High Speed Steel),7.59,DZ,H,KVPMSCA2548,3510-01-622-7153
2549,5133-00-189-9265,Drill Bit (High Speed Steel),7.73,DZ,H,KVPMSCA2549,3510-01-622-7153
2550,5133-00-189-9267,Drill Bit (High Speed Steel),6.62,DZ,H,KVPMSCA2550,3510-01-622-7153
2551,5133-00-189-9271,Drill Bit (High Speed Steel),6.62,DZ,H,KVPMSCA2551,3510-01-622-7153
2552,5133-00-189-9272,Drill Bit (High Speed Steel),6.62,DZ,H,KVPMSCA2552,3510-01-622-7153
2553,5133-00-189-9274,Drill Bit (High Speed Steel),5.93,DZ,H,KVPMSCA2553,3510-01-622-7153
2554,5133-00-189-9275,Drill Bit (High Speed Steel),5.06,DZ,H,KVPMSCA2554,3510-01-622-7153
2555,5133-00-189-9276,Drill Bit (High Speed Steel),5.93,DZ,H,KVPMSCA2555,3510-01-622-7153
2556,5133-00-189-9277,Drill Bit (High Speed Steel),5.89,DZ,H,KVPMSCA2556,3510-01-622-7153
2557,5133-00-189-9278,Drill Bit (High Speed Steel),5.89,DZ,H,KVPMSCA2557,3510-01-622-7153
2558,5133-00-189-9280,Drill Bit (High Speed Steel),5.89,DZ,H,KVPMSCA2558,3510-01-622-7153
2559,5133-00-189-9281,Drill Bit (High Speed Steel),5.89,DZ,H,KVPMSCA2559,3510-01-622-7153
2560,5133-00-189-9282,Drill Bit (High Speed Steel),5.89,DZ,H,KVPMSCA2560,3510-01-622-7153
2561,5133-00-189-9283,Drill Bit (High Speed Steel),5.89,DZ,H,KVPMSCA2561,3510-01-622-7153
2562,5133-00-189-9284,Drill Bit (High Speed Steel),5.89,DZ,H,KVPMSCA2562,3510-01-622-7153
2563,5133-00-189-9285,Drill Bit (High Speed Steel),4.95,DZ,H,KVPMSCA2563,3510-01-622-7153
2564,5133-00-189-9286,Drill Bit (High Speed Steel),5.89,DZ,H,KVPMSCA2564,3510-01-622-7153
2565,5133-00-189-9287,Drill Bit (High Speed Steel),5.89,DZ,H,KVPMSCA2565,3510-01-622-7153
2566,5133-00-189-9288,Drill Bit (High Speed Steel),5.89,DZ,H,KVPMSCA2566,3510-01-622-7153
2567,5133-00-189-9289,Drill Bit (High Speed Steel),6.1,DZ,H,KVPMSCA2567,3510-01-622-7153
2568,5133-00-189-9290,Drill Bit (High Speed Steel),8,DZ,H,KVPMSCA2568,3510-01-622-7153
2569,5133-00-189-9291,Drill Bit (High Speed Steel),5.84,DZ,H,KVPMSCA2569,3510-01-622-7153
2570,5133-00-189-9292,Drill Bit (High Speed Steel),5.84,DZ,H,KVPMSCA2570,3510-01-622-7153
2571,5133-00-189-9293,Drill Bit (High Speed Steel),5.84,DZ,H,KVPMSCA2571,3510-01-622-7153
2572,5133-00-189-9294,Drill Bit (High Speed Steel),5.84,DZ,H,KVPMSCA2572,3510-01-622-7153
2573,5133-00-189-9295,Drill Bit (High Speed Steel),6.07,DZ,H,KVPMSCA2573,3510-01-622-7153
2574,5133-00-189-9296,Drill Bit (High Speed Steel),5.84,DZ,H,KVPMSCA2574,3510-01-622-7153
2575,5133-00-189-9299,Drill Bit (High Speed Steel),5.84,DZ,H,KVPMSCA2575,3510-01-622-7153
2576,5133-00-189-9300,Drill Bit (High Speed Steel),5.84,DZ,H,KVPMSCA2576,3510-01-622-7153
2577,5133-00-189-9302,Drill Bit (High Speed Steel),6.08,DZ,H,KVPMSCA2577,3510-01-622-7153
2578,5133-00-189-9303,Drill Bit (High Speed Steel),6.21,DZ,H,KVPMSCA2578,3510-01-622-7153
2579,5133-00-189-9304,Drill Bit (High Speed Steel),6.21,DZ,H,KVPMSCA2579,3510-01-622-7153
2580,5133-00-189-9310,Drill Bit (High Speed Steel),9.88,EA,H,KVPMSCA2580,3510-01-622-7153
2581,5133-00-189-9320,Drill Bit (High Speed Steel),19.98,EA,H,KVPMSCA2581,3510-01-622-7153
2582,5133-00-189-9321,Drill Bit (High Speed Steel),20.21,EA,H,KVPMSCA2582,3510-01-622-7153
2583,5133-00-189-9322,Drill Bit (High Speed Steel),20.37,EA,H,KVPMSCA2583,3510-01-622-7153
2584,5133-00-189-9323,Drill Bit (High Speed Steel),22.11,EA,H,KVPMSCA2584,3510-01-622-7153
2585,5133-00-189-9325,Drill Bit (High Speed Steel),23.3,EA,H,KVPMSCA2585,3510-01-622-7153
2586,5133-00-222-9385,Drill Bit (High Speed Steel),8.96,EA,H,KVPMSCA2586,3510-01-622-7153
2587,5133-00-222-9466,Drill Bit (Carbide-Tipped),25.17,EA,H,KVPMSCA2587,3510-01-622-7153
2588,5133-00-222-9467,Drill Bit (Carbide-Tipped),16.64,EA,H,KVPMSCA2588,3510-01-622-7153
2589,5133-00-222-9468,Drill Bit (Carbide-Tipped),4.43,EA,H,KVPMSCA2589,3510-01-622-7153
2590,5133-00-222-9471,Drill Bit (Carbide-Tipped),9.43,EA,H,KVPMSCA2590,3510-01-622-7153
2591,5133-00-224-1963,Drill Bit (Countersink),5.03,EA,H,KVPMSCA2591,3510-01-622-7153
2592,5133-00-224-1965,Drill Bit (Countersink),4.37,EA,H,KVPMSCA2592,3510-01-622-7153
2593,5133-00-227-9645,Drill Bit (High Speed Steel),4.37,DZ,H,KVPMSCA2593,3510-01-622-7153
2594,5133-00-227-9646,Drill Bit (High Speed Steel),4.65,DZ,H,KVPMSCA2594,3510-01-622-7153
2595,5133-00-227-9647,Drill Bit (High Speed Steel),4.83,DZ,H,KVPMSCA2595,3510-01-622-7153
2596,5133-00-227-9648,Drill Bit (High Speed Steel),4.73,DZ,H,KVPMSCA2596,3510-01-622-7153
2597,5133-00-227-9649,Drill Bit (High Speed Steel),5.38,DZ,H,KVPMSCA2597,3510-01-622-7153
2598,5133-00-227-9651,Drill Bit (High Speed Steel),5.75,DZ,H,KVPMSCA2598,3510-01-622-7153
2599,5133-00-227-9652,Drill Bit (High Speed Steel),5.96,DZ,H,KVPMSCA2599,3510-01-622-7153
2600,5133-00-227-9653,Drill Bit (High Speed Steel),6.39,DZ,H,KVPMSCA2600,3510-01-622-7153
2601,5133-00-227-9654,Drill Bit (High Speed Steel),6.98,DZ,H,KVPMSCA2601,4240-00-542-2048
2602,5133-00-227-9656,Drill Bit (High Speed Steel),8.73,DZ,H,KVPMSCA2602,4240-00-816-3819
2603,5133-00-227-9659,Drill Bit (High Speed Steel),11.79,DZ,H,KVPMSCA2603,4240-01-292-2818
2604,5133-00-227-9660,Drill Bit (High Speed Steel),12.52,DZ,H,KVPMSCA2604,4240-01-463-5449
2605,5133-00-227-9662,Drill Bit (High Speed Steel),13.65,DZ,H,KVPMSCA2605,4240-01-492-0177
2606,5133-00-227-9664,Drill Bit (High Speed Steel),18.14,DZ,H,KVPMSCA2606,4460-01-443-4895
2607,5133-00-227-9667,Drill Bit (High Speed Steel),11.2,PG,H,KVPMSCA2607,4460-01-443-4896
2608,5133-00-227-9668,Drill Bit (High Speed Steel),12.01,PG,H,KVPMSCA2608,4460-01-443-4897
2609,5133-00-227-9669,Drill Bit (High Speed Steel),12.85,PG,H,KVPMSCA2609,4510-00-203-2707
2610,5133-00-227-9670,Drill Bit (High Speed Steel),13.49,PG,H,KVPMSCA2610,4510-00-203-2721
2611,5133-00-227-9671,Drill Bit (High Speed Steel),14.41,PG,H,KVPMSCA2611,4510-00-224-8549
2612,5133-00-227-9672,Drill Bit (High Speed Steel),21.13,PG,H,KVPMSCA2612,4510-00-247-1370
2613,5133-00-227-9673,Drill Bit (High Speed Steel),15.82,PG,H,KVPMSCA2613,4510-00-253-0857
2614,5133-00-227-9674,Drill Bit (High Speed Steel),16.46,PG,H,KVPMSCA2614,4510-00-595-0922
2615,5133-00-228-1321,Drill Bit (High Speed Steel),48.12,EA,H,KVPMSCA2615,4240-00-542-2048
2616,5133-00-228-1325,Drill Bit (High Speed Steel),26.3,EA,H,KVPMSCA2616,4240-00-816-3819
2617,5133-00-228-1326,Drill Bit (High Speed Steel),26.59,EA,H,KVPMSCA2617,4240-01-292-2818
2618,5133-00-228-1328,Drill Bit (High Speed Steel),27.19,EA,H,KVPMSCA2618,4240-01-463-5449
2619,5133-00-228-1330,Drill Bit (High Speed Steel),27.83,EA,H,KVPMSCA2619,4240-01-492-0177
2620,5133-00-228-1332,Drill Bit (High Speed Steel),32.03,EA,H,KVPMSCA2620,4460-01-443-4895
2621,5133-00-228-1333,Drill Bit (High Speed Steel),32.13,EA,H,KVPMSCA2621,4460-01-443-4896
2622,5133-00-228-1338,Drill Bit (High Speed Steel),39.99,EA,H,KVPMSCA2622,4460-01-443-4897
2623,5133-00-228-1339,Drill Bit (High Speed Steel),45.46,EA,H,KVPMSCA2623,4510-00-203-2707
2624,5133-00-228-1341,Drill Bit (High Speed Steel),44.94,EA,H,KVPMSCA2624,4510-00-203-2721
2625,5133-00-228-1342,Drill Bit (High Speed Steel),45.47,EA,H,KVPMSCA2625,4510-00-224-8549
2626,5133-00-228-1346,Drill Bit (High Speed Steel),50.72,EA,H,KVPMSCA2626,4510-00-247-1370
